date,protocol,loss_usd,tx_hash,lookup_source,reasoning,etherscan_verified,researcher_verified,has_flashloan_event
2023-03-13,Euler Finance,197000000,0xc310a0affe2169d1f6feec1c63dbc7f7c62a887fa48795d327d4d2da2d6b111d,https://www.cyfrin.io/blog/how-did-the-euler-finance-hack-happen-hack-analysis,"Etherscan confirms tx on Mar-13-2023 from 'Euler Finance Exploiter 3'. 30M DAI flash loan from Aave V2.",yes,yes,yes
2021-10-27,Cream Finance,130000000,0x0fe2542079644e107cbf13690eb9c2c65963ccb79089ff96bfaf8dced2331c92,https://cryptobriefing.com/136m-lost-cream-finance-suffers-another-flash-loan-attack/,"Etherscan confirms tx on Oct-27-2021 from 'Cream Finance Flash Loan Exploiter'. Aave V2 flash loan.",yes,yes,yes
2022-05-01,Rari Capital,80000000,0xadbe5cf9269a001d50990d0c29075b402bcc3a0b0f3258821881621b787b35c6,https://medium.com/blockapex/rari-capital-hack-analysis-poc-3f0328e555d9,"Etherscan confirms tx on Apr-30-2022 from 'FeiProtocol-Fuse Exploiter'. Balancer flash loan.",yes,yes,yes
2023-11-22,KyberSwap Elastic,48000000,0x485e08dc2b6a4b3aeadcb89c3d18a37666dc7d9424961a2091d6b3696792f0f3,https://blog.kyberswap.com/post-mortem-kyberswap-elastic-exploit/,"Etherscan confirms tx on Nov-22-2023 from 'KyberSwap Exploiter 1'.",yes,yes,yes
2024-04-19,Hedgey,44700000,0xa17fdb804728f226fcd10e78eae5247abd984e0f03301312315b89cae25aa517,https://immunebytes.com/blog/hedgey-finance-exploit-april-19-2024-detailed-analysis/,"Etherscan confirms tx on Apr-19-2024 from 'Hedgey Finance Exploiter'. Balancer flash loan of 1.3M USDC.",yes,yes,yes
2021-02-13,Alpha Finance,37500000,0xcc57ac77dc3953de7832162ea4cd925970e064ead3f6861ee40076aca8e7e571,https://blog.alphaventuredao.io/alpha-homora-v2-post-mortem/,"Etherscan confirms tx on Feb-13-2021 from 'Alpha Homora V2 Exploiter'. Uses Cream borrow not standard flash loan.",yes,yes,no
2020-10-26,Harvest Finance,25000000,0x35f8d2f572fceaac9288e5d462117850ef2694786992a8c3f6d02612277b0877,https://slowmist.medium.com/slow-mist-analysis-of-harvest-finances-hacked-event-63450b49e6a5,"Etherscan confirms tx on Oct-26-2020 from 'Harvest.Finance: Hacker 1'. Aave V1 ReserveUpdated event only.",yes,yes,no
2021-05-12,xToken,24000000,0x7cc7d935d895980cdd905b2a134597fb91004b5d551d6db0fb265e3d9840da22,https://rekt.news/xtoken-rekt,"Etherscan confirms tx on May-12-2021 from 'xToken Exploiter'. dYdX flash loan — no standard FlashLoan event.",yes,yes,no
2021-08-03,Popsicle Finance,20000000,0xcd7dae143a4c0223349c16237ce4cd7696b1638d116a72755231ede872ab70fc,https://rekt.news/popsicle-rekt,"Etherscan confirms tx on Aug-03-2021 from 'Popsicle Swap Hacker'. Aave V2 flash loan.",yes,yes,yes
2021-08-31,Cream Finance,18800000,0xd7ec3046ec75efbd04b3eea8752a8a6373a92c0dd813d08b655661054d3239c5,https://inspexco.medium.com/reentrancy-attack-on-cream-finance-incident-analysis-1c629686b6f5,"Etherscan confirms tx on Aug-30-2021 from 'Cream Finance Flashloan Attacker'. No standard FlashLoan event found.",yes,yes,no
2021-10-14,Indexed Finance,16000000,0x44aad3b853866468161735496a5d9cc961ce5aa872924c5d78673076b1cd95aa,https://rekt.news/indexed-finance-rekt,"Etherscan confirms tx on Oct-14-2021 from 'Indexed Finance Exploiter'. No standard FlashLoan event.",yes,yes,no
2020-09-29,Eminence,15000000,0x3503253131644dd9f52802d071de74e456570374d586ddd640159cf6fb9b8ad8,https://immunebytes.com/blog/eminence-defi-exploit-sep-29-2020-detailed-analysis/,"Etherscan confirms tx on Sep-29-2020 from 'EMN Exploiter'. Uniswap flash loan — no standard FlashLoan event.",yes,yes,no
