batch,quarter,start_date,end_date,output_type,use_case,classification_method,flash_loan_events,unique_transactions,pct_of_events,pct_of_transactions
19,2024_Q3,2024-07-01,2024-10-01,per_layer,unknown,unclassified,2547,2087,3.58,4.49
19,2024_Q3,2024-07-01,2024-10-01,per_layer,liquidation,layer2_allium_liquidation,1504,1445,2.12,3.11
19,2024_Q3,2024-07-01,2024-10-01,per_layer,liquidation,layer2_trace_function,1099,1080,1.55,2.33
19,2024_Q3,2024-07-01,2024-10-01,per_layer,debt_swap,layer1_anchor_contract,244,244,0.34,0.53
19,2024_Q3,2024-07-01,2024-10-01,per_layer,nft_operations,pre_filter_benddao,51,42,0.07,0.09
19,2024_Q3,2024-07-01,2024-10-01,per_use_case,arbitrage,,null,43518,null,93.71
19,2024_Q3,2024-07-01,2024-10-01,per_use_case,collateral_swap,,null,12995,null,27.98
19,2024_Q3,2024-07-01,2024-10-01,per_use_case,debt_swap,,null,3545,null,7.63
19,2024_Q3,2024-07-01,2024-10-01,per_use_case,unknown,,null,2087,null,4.49
19,2024_Q3,2024-07-01,2024-10-01,per_use_case,liquidation,,null,1535,null,3.31
19,2024_Q3,2024-07-01,2024-10-01,per_use_case,nft_operations,,null,42,null,0.09
20,2024_Q4,2024-10-01,2025-01-01,per_layer,arbitrage,layer4_dex_interaction,33419,33032,58.14,88.08
20,2024_Q4,2024-10-01,2025-01-01,per_layer,collateral_swap,layer3_allium_lending,6693,6439,11.64,17.17
20,2024_Q4,2024-10-01,2025-01-01,per_layer,debt_swap,layer3_allium_lending,5088,5015,8.85,13.37
20,2024_Q4,2024-10-01,2025-01-01,per_layer,collateral_swap,layer1_anchor_contract,4333,4329,7.54,11.54
20,2024_Q4,2024-10-01,2025-01-01,per_layer,debt_swap,layer1_anchor_contract,3845,3845,6.69,10.25
20,2024_Q4,2024-10-01,2025-01-01,per_layer,unknown,unclassified,3285,2773,5.71,7.39
20,2024_Q4,2024-10-01,2025-01-01,per_layer,liquidation,layer2_allium_liquidation,454,452,0.79,1.21
20,2024_Q4,2024-10-01,2025-01-01,per_layer,liquidation,layer2_trace_function,303,302,0.53,0.81
20,2024_Q4,2024-10-01,2025-01-01,per_layer,nft_operations,pre_filter_benddao,64,48,0.11,0.13
20,2024_Q4,2024-10-01,2025-01-01,per_use_case,arbitrage,,null,33032,null,88.08
20,2024_Q4,2024-10-01,2025-01-01,per_use_case,collateral_swap,,null,8188,null,21.83
20,2024_Q4,2024-10-01,2025-01-01,per_use_case,debt_swap,,null,5015,null,13.37
20,2024_Q4,2024-10-01,2025-01-01,per_use_case,unknown,,null,2773,null,7.39
20,2024_Q4,2024-10-01,2025-01-01,per_use_case,liquidation,,null,472,null,1.26
20,2024_Q4,2024-10-01,2025-01-01,per_use_case,nft_operations,,null,48,null,0.13
21,2025_Q1,2025-01-01,2025-04-01,per_layer,arbitrage,layer4_dex_interaction,83197,80953,57.3,91.82
21,2025_Q1,2025-01-01,2025-04-01,per_layer,collateral_swap,layer3_allium_lending,25948,25056,17.87,28.42
21,2025_Q1,2025-01-01,2025-04-01,per_layer,collateral_swap,layer1_anchor_contract,10068,10067,6.93,11.42
21,2025_Q1,2025-01-01,2025-04-01,per_layer,debt_swap,layer3_allium_lending,7814,7739,5.38,8.78
21,2025_Q1,2025-01-01,2025-04-01,per_layer,debt_swap,layer1_anchor_contract,5608,5608,3.86,6.36
21,2025_Q1,2025-01-01,2025-04-01,per_layer,unknown,unclassified,5254,4377,3.62,4.96
21,2025_Q1,2025-01-01,2025-04-01,per_layer,liquidation,layer2_allium_liquidation,4242,4225,2.92,4.79
21,2025_Q1,2025-01-01,2025-04-01,per_layer,liquidation,layer2_trace_function,3028,3017,2.09,3.42
21,2025_Q1,2025-01-01,2025-04-01,per_layer,nft_operations,pre_filter_benddao,24,22,0.02,0.02
21,2025_Q1,2025-01-01,2025-04-01,per_use_case,arbitrage,,null,80953,null,91.82
21,2025_Q1,2025-01-01,2025-04-01,per_use_case,collateral_swap,,null,28561,null,32.4
21,2025_Q1,2025-01-01,2025-04-01,per_use_case,debt_swap,,null,7739,null,8.78
21,2025_Q1,2025-01-01,2025-04-01,per_use_case,unknown,,null,4377,null,4.96
21,2025_Q1,2025-01-01,2025-04-01,per_use_case,liquidation,,null,4337,null,4.92
21,2025_Q1,2025-01-01,2025-04-01,per_use_case,nft_operations,,null,22,null,0.02
22,2025_Q2,2025-04-01,2025-07-01,per_layer,arbitrage,layer4_dex_interaction,103486,100159,61.0,94.42
22,2025_Q2,2025-04-01,2025-07-01,per_layer,collateral_swap,layer3_allium_lending,27233,26061,16.05,24.57
22,2025_Q2,2025-04-01,2025-07-01,per_layer,collateral_swap,layer1_anchor_contract,9714,9714,5.73,9.16
22,2025_Q2,2025-04-01,2025-07-01,per_layer,debt_swap,layer3_allium_lending,8864,8678,5.23,8.18
22,2025_Q2,2025-04-01,2025-07-01,per_layer,debt_swap,layer1_anchor_contract,6439,6439,3.8,6.07
22,2025_Q2,2025-04-01,2025-07-01,per_layer,liquidation,layer2_allium_liquidation,4834,4817,2.85,4.54
22,2025_Q2,2025-04-01,2025-07-01,per_layer,liquidation,layer2_trace_function,4391,4388,2.59,4.14
22,2025_Q2,2025-04-01,2025-07-01,per_layer,unknown,unclassified,4672,3468,2.75,3.27
22,2025_Q2,2025-04-01,2025-07-01,per_layer,nft_operations,pre_filter_benddao,10,10,0.01,0.01
22,2025_Q2,2025-04-01,2025-07-01,per_use_case,arbitrage,,null,100159,null,94.42
22,2025_Q2,2025-04-01,2025-07-01,per_use_case,collateral_swap,,null,28288,null,26.67
22,2025_Q2,2025-04-01,2025-07-01,per_use_case,debt_swap,,null,8678,null,8.18
22,2025_Q2,2025-04-01,2025-07-01,per_use_case,liquidation,,null,4881,null,4.6
22,2025_Q2,2025-04-01,2025-07-01,per_use_case,unknown,,null,3468,null,3.27
22,2025_Q2,2025-04-01,2025-07-01,per_use_case,nft_operations,,null,10,null,0.01
23,2025_Q3,2025-07-01,2025-10-01,per_layer,arbitrage,layer4_dex_interaction,185775,179017,70.32,95.35
23,2025_Q3,2025-07-01,2025-10-01,per_layer,collateral_swap,layer3_allium_lending,33198,32309,12.57,17.21
23,2025_Q3,2025-07-01,2025-10-01,per_layer,collateral_swap,layer1_anchor_contract,14376,14376,5.44,7.66
23,2025_Q3,2025-07-01,2025-10-01,per_layer,debt_swap,layer3_allium_lending,13351,13253,5.05,7.06
23,2025_Q3,2025-07-01,2025-10-01,per_layer,debt_swap,layer1_anchor_contract,8879,8879,3.36,4.73
23,2025_Q3,2025-07-01,2025-10-01,per_layer,unknown,unclassified,7300,5912,2.76,3.15
23,2025_Q3,2025-07-01,2025-10-01,per_layer,liquidation,layer2_allium_liquidation,674,654,0.26,0.35
23,2025_Q3,2025-07-01,2025-10-01,per_layer,liquidation,layer2_trace_function,620,601,0.23,0.32
23,2025_Q3,2025-07-01,2025-10-01,per_layer,nft_operations,pre_filter_benddao,7,5,0.0,0.0
23,2025_Q3,2025-07-01,2025-10-01,per_use_case,arbitrage,,null,179017,null,95.35
23,2025_Q3,2025-07-01,2025-10-01,per_use_case,collateral_swap,,null,35623,null,18.97
23,2025_Q3,2025-07-01,2025-10-01,per_use_case,debt_swap,,null,13253,null,7.06
23,2025_Q3,2025-07-01,2025-10-01,per_use_case,unknown,,null,5912,null,3.15
23,2025_Q3,2025-07-01,2025-10-01,per_use_case,liquidation,,null,686,null,0.37
23,2025_Q3,2025-07-01,2025-10-01,per_use_case,nft_operations,,null,5,null,0.0
24,2025_Q4,2025-10-01,2026-01-01,per_layer,arbitrage,layer4_dex_interaction,456996,418004,81.75,97.33
24,2025_Q4,2025-10-01,2026-01-01,per_layer,collateral_swap,layer3_allium_lending,55641,47936,9.95,11.16
24,2025_Q4,2025-10-01,2026-01-01,per_layer,debt_swap,layer3_allium_lending,14200,14097,2.54,3.28
24,2025_Q4,2025-10-01,2026-01-01,per_layer,collateral_swap,layer1_anchor_contract,11173,11172,2.0,2.6
24,2025_Q4,2025-10-01,2026-01-01,per_layer,debt_swap,layer1_anchor_contract,8426,8426,1.51,1.96
24,2025_Q4,2025-10-01,2026-01-01,per_layer,unknown,unclassified,7626,7300,1.36,1.7
24,2025_Q4,2025-10-01,2026-01-01,per_layer,liquidation,layer2_allium_liquidation,2629,2337,0.47,0.54
24,2025_Q4,2025-10-01,2026-01-01,per_layer,liquidation,layer2_trace_function,2294,2052,0.41,0.48
24,2025_Q4,2025-10-01,2026-01-01,per_layer,nft_operations,pre_filter_benddao,1,1,0.0,0.0
24,2025_Q4,2025-10-01,2026-01-01,per_use_case,arbitrage,,null,418004,null,97.33
24,2025_Q4,2025-10-01,2026-01-01,per_use_case,collateral_swap,,null,52037,null,12.12
24,2025_Q4,2025-10-01,2026-01-01,per_use_case,debt_swap,,null,14097,null,3.28
24,2025_Q4,2025-10-01,2026-01-01,per_use_case,unknown,,null,7300,null,1.7
24,2025_Q4,2025-10-01,2026-01-01,per_use_case,liquidation,,null,2470,null,0.58
24,2025_Q4,2025-10-01,2026-01-01,per_use_case,nft_operations,,null,1,null,0.0
25,2026_Q1,2026-01-01,2026-04-01,per_layer,arbitrage,layer4_dex_interaction,616897,567293,85.08,95.26
25,2026_Q1,2026-01-01,2026-04-01,per_layer,collateral_swap,layer3_allium_lending,62946,53712,8.68,9.02
25,2026_Q1,2026-01-01,2026-04-01,per_layer,unknown,unclassified,15976,15482,2.2,2.6
25,2026_Q1,2026-01-01,2026-04-01,per_layer,debt_swap,layer3_allium_lending,13574,13413,1.87,2.25
25,2026_Q1,2026-01-01,2026-04-01,per_layer,liquidation,layer2_trace_function,10196,5385,1.41,0.9
25,2026_Q1,2026-01-01,2026-04-01,per_layer,liquidation,layer2_allium_liquidation,5182,4436,0.71,0.74
25,2026_Q1,2026-01-01,2026-04-01,per_layer,debt_swap,layer1_anchor_contract,218,218,0.03,0.04
25,2026_Q1,2026-01-01,2026-04-01,per_layer,collateral_swap,layer1_anchor_contract,114,114,0.02,0.02
25,2026_Q1,2026-01-01,2026-04-01,per_use_case,arbitrage,,null,567293,null,95.26
25,2026_Q1,2026-01-01,2026-04-01,per_use_case,collateral_swap,,null,53762,null,9.03
25,2026_Q1,2026-01-01,2026-04-01,per_use_case,unknown,,null,15482,null,2.6
25,2026_Q1,2026-01-01,2026-04-01,per_use_case,debt_swap,,null,13413,null,2.25
25,2026_Q1,2026-01-01,2026-04-01,per_use_case,liquidation,,null,6715,null,1.13
26,2026_Q2,2026-04-01,2026-07-01,per_layer,arbitrage,layer4_dex_interaction,440573,413172,87.04,94.29
26,2026_Q2,2026-04-01,2026-07-01,per_layer,collateral_swap,layer3_allium_lending,26238,23060,5.18,5.26
26,2026_Q2,2026-04-01,2026-07-01,per_layer,unknown,unclassified,19416,16441,3.84,3.75
26,2026_Q2,2026-04-01,2026-07-01,per_layer,debt_swap,layer3_allium_lending,9732,9561,1.92,2.18
26,2026_Q2,2026-04-01,2026-07-01,per_layer,liquidation,layer2_allium_liquidation,5362,4748,1.06,1.08
26,2026_Q2,2026-04-01,2026-07-01,per_layer,liquidation,layer2_trace_function,4292,3805,0.85,0.87
26,2026_Q2,2026-04-01,2026-07-01,per_layer,debt_swap,layer1_anchor_contract,313,313,0.06,0.07
26,2026_Q2,2026-04-01,2026-07-01,per_layer,collateral_swap,layer1_anchor_contract,275,275,0.05,0.06
26,2026_Q2,2026-04-01,2026-07-01,per_use_case,arbitrage,,null,413172,null,94.29
26,2026_Q2,2026-04-01,2026-07-01,per_use_case,collateral_swap,,null,23168,null,5.29
26,2026_Q2,2026-04-01,2026-07-01,per_use_case,unknown,,null,16441,null,3.75
26,2026_Q2,2026-04-01,2026-07-01,per_use_case,debt_swap,,null,9561,null,2.18
26,2026_Q2,2026-04-01,2026-07-01,per_use_case,liquidation,,null,4940,null,1.13
02,2020_Q2,2020-04-01,2020-07-01,per_layer,unknown,unclassified,3250,1742,96.21,94.21
02,2020_Q2,2020-04-01,2020-07-01,per_layer,arbitrage,layer4_dex_interaction,43,43,1.27,2.33
02,2020_Q2,2020-04-01,2020-07-01,per_layer,liquidation,layer2_allium_liquidation,30,30,0.89,1.62
02,2020_Q2,2020-04-01,2020-07-01,per_layer,collateral_swap,layer3_allium_lending,29,29,0.86,1.57
02,2020_Q2,2020-04-01,2020-07-01,per_layer,debt_swap,layer3_allium_lending,26,19,0.77,1.03
02,2020_Q2,2020-04-01,2020-07-01,per_use_case,unknown,,null,1742,null,94.21
02,2020_Q2,2020-04-01,2020-07-01,per_use_case,arbitrage,,null,43,null,2.33
02,2020_Q2,2020-04-01,2020-07-01,per_use_case,liquidation,,null,30,null,1.62
02,2020_Q2,2020-04-01,2020-07-01,per_use_case,collateral_swap,,null,29,null,1.57
02,2020_Q2,2020-04-01,2020-07-01,per_use_case,debt_swap,,null,19,null,1.03
03,2020_Q3,2020-07-01,2020-10-01,per_layer,arbitrage,layer4_dex_interaction,2065,1672,48.44,60.1
03,2020_Q3,2020-07-01,2020-10-01,per_layer,unknown,unclassified,1848,1058,43.35,38.03
03,2020_Q3,2020-07-01,2020-10-01,per_layer,liquidation,layer2_allium_liquidation,254,253,5.96,9.09
03,2020_Q3,2020-07-01,2020-10-01,per_layer,debt_swap,layer3_allium_lending,76,38,1.78,1.37
03,2020_Q3,2020-07-01,2020-10-01,per_layer,collateral_swap,layer3_allium_lending,20,20,0.47,0.72
03,2020_Q3,2020-07-01,2020-10-01,per_use_case,arbitrage,,null,1672,null,60.1
03,2020_Q3,2020-07-01,2020-10-01,per_use_case,unknown,,null,1058,null,38.03
03,2020_Q3,2020-07-01,2020-10-01,per_use_case,liquidation,,null,253,null,9.09
03,2020_Q3,2020-07-01,2020-10-01,per_use_case,debt_swap,,null,38,null,1.37
03,2020_Q3,2020-07-01,2020-10-01,per_use_case,collateral_swap,,null,20,null,0.72
04,2020_Q4,2020-10-01,2021-01-01,per_layer,arbitrage,layer4_dex_interaction,3366,3343,56.73,68.66
04,2020_Q4,2020-10-01,2021-01-01,per_layer,unknown,unclassified,1453,1445,24.49,29.68
04,2020_Q4,2020-10-01,2021-01-01,per_layer,liquidation,layer2_allium_liquidation,625,619,10.53,12.71
04,2020_Q4,2020-10-01,2021-01-01,per_layer,collateral_swap,layer3_allium_lending,348,348,5.87,7.15
04,2020_Q4,2020-10-01,2021-01-01,per_layer,debt_swap,layer3_allium_lending,139,119,2.34,2.44
04,2020_Q4,2020-10-01,2021-01-01,per_layer,liquidation,layer2_trace_function,2,1,0.03,0.02
04,2020_Q4,2020-10-01,2021-01-01,per_use_case,arbitrage,,null,3343,null,68.66
04,2020_Q4,2020-10-01,2021-01-01,per_use_case,unknown,,null,1445,null,29.68
04,2020_Q4,2020-10-01,2021-01-01,per_use_case,liquidation,,null,619,null,12.71
04,2020_Q4,2020-10-01,2021-01-01,per_use_case,collateral_swap,,null,348,null,7.15
04,2020_Q4,2020-10-01,2021-01-01,per_use_case,debt_swap,,null,119,null,2.44
05,2021_Q1,2021-01-01,2021-04-01,per_layer,arbitrage,layer4_dex_interaction,6365,6353,47.92,68.3
05,2021_Q1,2021-01-01,2021-04-01,per_layer,collateral_swap,layer3_allium_lending,2572,2309,19.36,24.83
05,2021_Q1,2021-01-01,2021-04-01,per_layer,unknown,unclassified,2086,2085,15.71,22.42
05,2021_Q1,2021-01-01,2021-04-01,per_layer,collateral_swap,layer1_anchor_contract,1070,1070,8.06,11.5
05,2021_Q1,2021-01-01,2021-04-01,per_layer,debt_swap,layer3_allium_lending,982,717,7.39,7.71
05,2021_Q1,2021-01-01,2021-04-01,per_layer,liquidation,layer2_allium_liquidation,162,151,1.22,1.62
05,2021_Q1,2021-01-01,2021-04-01,per_layer,liquidation,layer2_trace_function,45,34,0.34,0.37
05,2021_Q1,2021-01-01,2021-04-01,per_use_case,arbitrage,,null,6353,null,68.3
05,2021_Q1,2021-01-01,2021-04-01,per_use_case,collateral_swap,,null,3379,null,36.33
05,2021_Q1,2021-01-01,2021-04-01,per_use_case,unknown,,null,2085,null,22.42
05,2021_Q1,2021-01-01,2021-04-01,per_use_case,debt_swap,,null,717,null,7.71
05,2021_Q1,2021-01-01,2021-04-01,per_use_case,liquidation,,null,151,null,1.62
06,2021_Q2,2021-04-01,2021-07-01,per_layer,arbitrage,layer4_dex_interaction,12887,12884,48.65,76.77
06,2021_Q2,2021-04-01,2021-07-01,per_layer,collateral_swap,layer3_allium_lending,3407,3041,12.86,18.12
06,2021_Q2,2021-04-01,2021-07-01,per_layer,unknown,unclassified,2582,2582,9.75,15.38
06,2021_Q2,2021-04-01,2021-07-01,per_layer,collateral_swap,layer1_anchor_contract,2512,2512,9.48,14.97
06,2021_Q2,2021-04-01,2021-07-01,per_layer,liquidation,layer2_allium_liquidation,2017,2017,7.61,12.02
06,2021_Q2,2021-04-01,2021-07-01,per_layer,liquidation,layer2_trace_function,1802,1802,6.8,10.74
06,2021_Q2,2021-04-01,2021-07-01,per_layer,debt_swap,layer3_allium_lending,1283,915,4.84,5.45
06,2021_Q2,2021-04-01,2021-07-01,per_use_case,arbitrage,,null,12884,null,76.77
06,2021_Q2,2021-04-01,2021-07-01,per_use_case,collateral_swap,,null,5432,null,32.37
06,2021_Q2,2021-04-01,2021-07-01,per_use_case,unknown,,null,2582,null,15.38
06,2021_Q2,2021-04-01,2021-07-01,per_use_case,liquidation,,null,2032,null,12.11
06,2021_Q2,2021-04-01,2021-07-01,per_use_case,debt_swap,,null,915,null,5.45
